"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (UTC)","Year","Month","Day","Time (UTC)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2018-10-01 00:00","2018","10","01","00:00","10.3","","8.2","","87","","","","1","","13","","","M","100.08","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2018-10-01 01:00","2018","10","01","01:00","10.2","","8.1","","87","","","","5","","8","","","M","100.02","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2018-10-01 02:00","2018","10","01","02:00","10.2","","8.0","","86","","","","36","","12","","","M","100.11","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2018-10-01 03:00","2018","10","01","03:00","9.3","","8.6","","95","","","","4","","9","","","M","100.11","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2018-10-01 04:00","2018","10","01","04:00","9.4","","8.9","","97","","","","2","","8","","","M","100.12","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2018-10-01 05:00","2018","10","01","05:00","9.2","","8.7","","97","","","","1","","14","","","M","100.14","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2018-10-01 06:00","2018","10","01","06:00","8.8","","8.3","","97","","","","2","","13","","","M","100.15","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2018-10-01 07:00","2018","10","01","07:00","8.7","","8.2","","97","","","","5","","9","","","M","100.16","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2018-10-01 08:00","2018","10","01","08:00","8.4","","7.9","","97","","","","4","","13","","","M","100.16","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2018-10-01 09:00","2018","10","01","09:00","8.4","","7.8","","96","","","","2","","9","","","M","100.28","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2018-10-01 10:00","2018","10","01","10:00","8.2","","7.7","","97","","","","4","","9","","","M","100.25","","","","","","NA"
