"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (UTC)","Year","Month","Day","Time (UTC)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-01 00:00","2019","10","01","00:00","15.5","","13.1","","85","","","","15","","10","","24.1","","99.75","","","","","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-01 01:00","2019","10","01","01:00","15.4","","13.7","","89","","","","12","","8","","24.1","","99.70","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-01 02:00","2019","10","01","02:00","15.7","","13.9","","89","","","","14","","9","","24.1","","99.63","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-01 03:00","2019","10","01","03:00","15.9","","14.5","","91","","","","12","","5","","24.1","","99.62","","","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-01 04:00","2019","10","01","04:00","15.6","","14.7","","94","","","","16","","15","","24.1","","99.55","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-01 05:00","2019","10","01","05:00","15.1","","14.3","","95","","","","17","","12","","24.1","","99.52","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-01 06:00","2019","10","01","06:00","14.8","","13.9","","95","","","","17","","10","","24.1","","99.49","","","","","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-01 07:00","2019","10","01","07:00","14.8","","14.0","","95","","","","17","","14","","24.1","","99.42","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-01 08:00","2019","10","01","08:00","16.0","","14.2","","89","","","","17","","18","","24.1","","99.36","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-01 09:00","2019","10","01","09:00","16.2","","14.6","","90","","","","15","","15","","24.1","","99.31","","","","","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-01 10:00","2019","10","01","10:00","15.8","","14.4","","91","","","","15","","11","","24.1","","99.24","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-01 11:00","2019","10","01","11:00","16.3","","14.8","","91","","","","15","","16","","24.1","","99.24","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-01 12:00","2019","10","01","12:00","19.9","","18.5","","92","","","","19","","13","","24.1","","99.25","","","","","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-01 13:00","2019","10","01","13:00","22.1","","18.6","","80","","","","16","","20","","24.1","","99.22","","29","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-10-01 14:00","2019","10","01","14:00","26.4","","19.6","","66","","","","19","","16","","24.1","","99.23","","34","","","","NA"
