DATE                      TIME                      DAYS_SINCE_JAN            CAVITY_TEMP               CAVITY_PRESSURE           DAS_TEMP_(C)              ETALON_TEMP               HEATER_CURRENT            INLET_PROPORTIONAL_VALVE  OUTLET_PROPORTIONAL_VALVE SOLENOID_VALVES           MULTI_POS_VALVE           SPECTRUMID                CLOCK_DRIFT               CO2                       CO2_CORR                  CH4                       H2O                       CO2_USER_AVE1             CO2_CORR_AVE1             CH4_CORR_AVE1             CO2_H20_CORR              TIME_DELAY_CO2            TIME_DELAY_CH4            CO2_GAL_PEAK              CO2_Y_PARAMETER           CO2_BASELINE              CM_ADJUST_C               CO2_WLM_OFFSET            QUADSHIFT                 FINECURRENT_MEAN_CO2      LASER1_TEMP_OFFSET_CO2    CM_ADJUST_L2              CH4_WLM_OFFSET            FINECURRENT_MEAN_CH4      LASER2_TEMP_OFFSET        CH4_Y                     CH4_BASELINE              PZT_CENTER                PZT_SD                    STDV_RESIDUALS            PZT_FILTERED              WLM_SETPOINT_FILTERED     BAD_RINGDOWNS_FILTERED    SPARSE_FILTERED           TOTAL_FILTERED_CO2        TOTAL_FILTERED_CH4       
09/27/18                  03:58:12.7                2.6916542521E+2           4.4997558590E+1           1.4000021360E+2           2.7937500000E+1           4.5059844970E+1           1.0800000000E+2           5.0000000000E+4           3.8483000000E+4           2.0000000000E+0           5.1200000000E+2           1.0000000000E+1           -3.1500003461E-1          4.4370286393E+2           4.5138357011E+2           1.9774523671E+0           1.3678391326E+0           4.4425031482E+2           4.5193652557E+2           1.9694686295E+0           7.6807061810E+0           6.2701410000E-1           6.2701410000E-1           6.2666304974E+2           1.8306445469E+0           1.1690531418E+3           6.9800000000E-4           -2.9790000000E-2          -6.2834260938E-4          -1.3683416667E+3          2.0000000298E-1           -2.0400000000E-4          -1.9180000000E-2          -1.3683416667E+3          -6.0000002384E-1          1.0946605193E+0           1.2650000000E+3           4.8148500000E+4           2.6058701678E+2           4.8271963127E-1           0.0000000000E+0           0.0000000000E+0           0.0000000000E+0           0.0000000000E+0           0.0000000000E+0           0.0000000000E+0          
09/27/18                  03:58:13.7                2.6916543729E+2           4.4997558590E+1           1.4007450870E+2           2.8000000000E+1           4.5059844970E+1           1.0800000000E+2           5.0000000000E+4           3.8511000000E+4           2.0000000000E+0           5.1200000000E+2           2.5000000000E+1           -3.1500003461E-1          4.4370286393E+2           4.5138357011E+2           1.9694201337E+0           1.3678391326E+0           4.4425031482E+2           4.5193652557E+2           1.9694640346E+0           7.6807061810E+0           1.0059815000E+0           1.0059815000E+0           6.2666304974E+2           1.8306445469E+0           1.1690531418E+3           6.9800000000E-4           -2.9790000000E-2          -6.2834260938E-4          1.1608391608E+2           2.0000000298E-1           -1.6900000000E-4          -1.9180000000E-2          1.1608391608E+2           -6.0000002384E-1          1.0962823715E+0           1.2671918389E+3           4.8148500000E+4           2.6058701678E+2           6.6783924114E-1           1.1000000000E+1           4.0000000000E+0           0.0000000000E+0           3.0000000000E+0           1.8000000000E+1           1.8000000000E+1          
09/27/18                  03:58:16.7                2.6916547130E+2           4.4997558590E+1           1.4003735350E+2           2.8000000000E+1           4.5059844970E+1           1.0800000000E+2           5.0000000000E+4           3.8493000000E+4           2.0000000000E+0           5.1200000000E+2           1.0000000000E+1           -3.1500003461E-1          4.4479776571E+2           4.5248948103E+2           1.9694201337E+0           1.3664518529E+0           4.4437489716E+2           4.5206236058E+2           1.9694640346E+0           7.6917153167E+0           6.1999510000E-1           6.1999510000E-1           6.2820807733E+2           1.9349842761E+0           1.1674626849E+3           4.9200000000E-4           -2.9790000000E-2          -6.9575998861E-4          -1.1950247934E+3          2.0000000298E-1           -1.6900000000E-4          -1.9180000000E-2          -1.1950247934E+3          -6.0000002384E-1          1.0962823715E+0           1.2671918389E+3           4.8148500000E+4           2.6058701678E+2           4.4691037789E-1           0.0000000000E+0           0.0000000000E+0           0.0000000000E+0           0.0000000000E+0           0.0000000000E+0           0.0000000000E+0          
09/27/18                  03:58:17.8                2.6916548415E+2           4.4997558590E+1           1.4007450870E+2           2.8000000000E+1           4.5059204100E+1           8.6000000000E+1           5.0000000000E+4           3.8506000000E+4           2.0000000000E+0           5.1200000000E+2           2.5000000000E+1           -3.1500003461E-1          4.4479776571E+2           4.5248948103E+2           1.9695171253E+0           1.3664518529E+0           4.4437489716E+2           4.5206236058E+2           1.9694693546E+0           7.6917153167E+0           1.0790100000E+0           1.0790100000E+0           6.2820807733E+2           1.9349842761E+0           1.1674626849E+3           4.9200000000E-4           -2.9790000000E-2          -6.9575998861E-4          1.1546153846E+2           2.0000000298E-1           -1.8700000000E-4          -1.9180000000E-2          1.1546153846E+2           -6.0000002384E-1          1.1227083991E+0           1.2669509953E+3           4.8148500000E+4           2.6058701678E+2           3.7573179374E-1           8.0000000000E+0           4.0000000000E+0           0.0000000000E+0           1.0000000000E+0           1.3000000000E+1           1.3000000000E+1          
09/27/18                  03:58:20.7                2.6916551745E+2           4.4997558590E+1           1.4005593870E+2           2.8000000000E+1           4.5059204100E+1           8.6000000000E+1           5.0000000000E+4           3.8510000000E+4           2.0000000000E+0           5.1200000000E+2           1.0000000000E+1           -3.1500004116E-1          4.4332449617E+2           4.5098938555E+2           1.9695171253E+0           1.3662154443E+0           4.4413971612E+2           4.5182212528E+2           1.9694693546E+0           7.6648893773E+0           6.4898680000E-1           6.4898680000E-1           6.2612913096E+2           1.8861287304E+0           1.1682960108E+3           4.8700000000E-4           -2.9740000000E-2          -5.8904267206E-4          -1.7461000000E+3          2.0000000298E-1           -1.8700000000E-4          -1.9190000000E-2          -1.7461000000E+3          -6.0000002384E-1          1.1227083991E+0           1.2669509953E+3           4.8172000000E+4           2.5535575589E+2           9.0385286659E-1           0.0000000000E+0           0.0000000000E+0           0.0000000000E+0           0.0000000000E+0           0.0000000000E+0           0.0000000000E+0          
09/27/18                  03:58:21.7                2.6916552981E+2           4.4997558590E+1           1.4003735350E+2           2.8000000000E+1           4.5059204100E+1           8.6000000000E+1           5.0000000000E+4           3.8513000000E+4           2.0000000000E+0           5.1200000000E+2           2.5000000000E+1           -3.1500004116E-1          4.4332449617E+2           4.5098938555E+2           1.9654664426E+0           1.3662154443E+0           4.4413971612E+2           4.5182212528E+2           1.9690821158E+0           7.6648893773E+0           1.0720215000E+0           1.0720215000E+0           6.2612913096E+2           1.8861287304E+0           1.1682960108E+3           4.8700000000E-4           -2.9740000000E-2          -5.8904267206E-4          8.2559440559E+1           2.0000000298E-1           -1.8900000000E-4          -1.9190000000E-2          8.2559440559E+1           -6.0000002384E-1          1.1007197166E+0           1.2675090962E+3           4.8172000000E+4           2.5535575589E+2           4.4435815330E-1           1.4000000000E+1           4.0000000000E+0           0.0000000000E+0           2.0000000000E+0           2.0000000000E+1           2.0000000000E+1          
09/27/18                  03:58:24.8                2.6916556497E+2           4.4997558590E+1           1.4003735350E+2           2.8000000000E+1           4.5057739260E+1           6.8000000000E+1           5.0000000000E+4           3.8522000000E+4           2.0000000000E+0           5.1200000000E+2           1.0000000000E+1           -3.1500004116E-1          4.4102087219E+2           4.4857703694E+2           1.9654664426E+0           1.3540789916E+0           4.4341150114E+2           4.5106443365E+2           1.9690821158E+0           7.5561647483E+0           6.2802120000E-1           6.2802120000E-1           6.2287846259E+2           1.8963643947E+0           1.1686419417E+3           5.9400000000E-4           -2.9740000000E-2          -2.5958862156E-4          -1.0092479339E+3          2.0000000298E-1           -1.8900000000E-4          -1.9190000000E-2          -1.0092479339E+3          -6.0000002384E-1          1.1007197166E+0           1.2675090962E+3           4.8172000000E+4           2.5535575589E+2           4.3893427239E-1           0.0000000000E+0           0.0000000000E+0           0.0000000000E+0           1.0000000000E+0           1.0000000000E+0           1.0000000000E+0          
09/27/18                  03:58:25.8                2.6916557702E+2           4.4997558590E+1           1.4005593870E+2           2.8000000000E+1           4.5057739260E+1           6.8000000000E+1           5.0000000000E+4           3.8519000000E+4           2.0000000000E+0           5.1200000000E+2           2.5000000000E+1           -3.1500004116E-1          4.4102087219E+2           4.4857703694E+2           1.9642584610E+0           1.3540789916E+0           4.4341150114E+2           4.5106443365E+2           1.9686259718E+0           7.5561647483E+0           1.0939942000E+0           1.0939942000E+0           6.2287846259E+2           1.8963643947E+0           1.1686419417E+3           5.9400000000E-4           -2.9740000000E-2          -2.5958862156E-4          -1.5890209790E+2          2.0000000298E-1           -1.5900000000E-4          -1.9190000000E-2          -1.5890209790E+2          -6.0000002384E-1          1.0805990444E+0           1.2678541703E+3           4.8172000000E+4           2.5535575589E+2           3.4650255708E-1           2.3000000000E+1           2.0000000000E+0           0.0000000000E+0           0.0000000000E+0           2.5000000000E+1           2.5000000000E+1          
09/27/18                  03:58:28.7                2.6916561044E+2           4.4996032710E+1           1.4003735350E+2           2.8000000000E+1           4.5057312010E+1           7.0000000000E+1           5.0000000000E+4           3.8522000000E+4           2.0000000000E+0           5.1200000000E+2           1.0000000000E+1           -3.1500004116E-1          4.4128029723E+2           4.4883424575E+2           1.9642584610E+0           1.3529061000E+0           4.4293292502E+2           4.5056363001E+2           1.9686259718E+0           7.5539485269E+0           6.5597540000E-1           6.5597540000E-1           6.2324454002E+2           1.9379051246E+0           1.1691196405E+3           5.2000000000E-4           -2.9690000000E-2          -5.6515664195E-4          -1.7882166667E+3          2.0000000298E-1           -1.5900000000E-4          -1.9200000000E-2          -1.7882166667E+3          -6.0000002384E-1          1.0805990444E+0           1.2678541703E+3           4.8113000000E+4           2.8989360402E+2           6.0166173485E-1           0.0000000000E+0           0.0000000000E+0           0.0000000000E+0           1.0000000000E+0           1.0000000000E+0           1.0000000000E+0          
09/27/18                  03:58:29.8                2.6916562293E+2           4.4996032710E+1           1.4005593870E+2           2.8000000000E+1           4.5057312010E+1           7.0000000000E+1           5.0000000000E+4           3.8522000000E+4           2.0000000000E+0           5.1200000000E+2           2.5000000000E+1           -3.1500004116E-1          4.4128029723E+2           4.4883424575E+2           1.9625678749E+0           1.3529061000E+0           4.4293292502E+2           4.5056363001E+2           1.9680346977E+0           7.5539485269E+0           1.0360107000E+0           1.0360107000E+0           6.2324454002E+2           1.9379051246E+0           1.1691196405E+3           5.2000000000E-4           -2.9690000000E-2          -5.6515664195E-4          2.4525174825E+2           2.0000000298E-1           -1.8200000000E-4          -1.9200000000E-2          2.4525174825E+2           -6.0000002384E-1          1.0852104722E+0           1.2678040317E+3           4.8113000000E+4           2.8989360402E+2           5.0894663171E-1           9.0000000000E+0           3.0000000000E+0           0.0000000000E+0           0.0000000000E+0           1.2000000000E+1           1.2000000000E+1          
