DATE                      TIME                      DAYS_SINCE_JAN            DAS_TEMP_(C)              OUTLET_PROPORTIONAL_VALVE SOLENOID_VALVES           MULTI_POS_VALVE           SPECTRUMID                CO2                       CO2_CORR                  CH4                       H2O                      
12/07/18                  04:51:40.8                3.4020255575E+2           2.5187500000E+1           3.8694000000E+4           2.0000000000E+0           5.1200000000E+2           1.0000000000E+1           4.2610279209E+2           4.2610279209E+2           1.9958861906E+0           4.0189173951E-1          
12/07/18                  04:51:42.0                3.4020257029E+2           2.5187500000E+1           3.8706000000E+4           2.0000000000E+0           5.1200000000E+2           2.5000000000E+1           4.2610279209E+2           4.2610279209E+2           1.9940400500E+0           4.0189173951E-1          
12/07/18                  04:51:45.1                3.4020260583E+2           2.5187500000E+1           3.8697000000E+4           2.0000000000E+0           5.1200000000E+2           1.0000000000E+1           4.2643686904E+2           4.2643686904E+2           1.9940400500E+0           4.0617081342E-1          
12/07/18                  04:51:46.3                3.4020261936E+2           2.5187500000E+1           3.8714000000E+4           2.0000000000E+0           5.1200000000E+2           2.5000000000E+1           4.2643686904E+2           4.2643686904E+2           1.9926369512E+0           4.0617081342E-1          
12/07/18                  04:51:49.4                3.4020265599E+2           2.5187500000E+1           3.8716000000E+4           2.0000000000E+0           5.1200000000E+2           1.0000000000E+1           4.2672537554E+2           4.2672537554E+2           1.9926369512E+0           4.0505326524E-1          
12/07/18                  04:51:50.5                3.4020266857E+2           2.5250000000E+1           3.8727000000E+4           2.0000000000E+0           5.1200000000E+2           2.5000000000E+1           4.2672537554E+2           4.2672537554E+2           1.9919313234E+0           4.0505326524E-1          
12/07/18                  04:51:53.9                3.4020270723E+2           2.5250000000E+1           3.8723000000E+4           2.0000000000E+0           5.1200000000E+2           1.0000000000E+1           4.2655597882E+2           4.2655597882E+2           1.9919313234E+0           4.0186417569E-1          
12/07/18                  04:51:55.1                3.4020272164E+2           2.5250000000E+1           3.8736000000E+4           2.0000000000E+0           5.1200000000E+2           2.5000000000E+1           4.2655597882E+2           4.2655597882E+2           1.9936528379E+0           4.0186417569E-1          
12/07/18                  04:51:58.3                3.4020275895E+2           2.5250000000E+1           3.8736000000E+4           2.0000000000E+0           5.1200000000E+2           1.0000000000E+1           4.2768688494E+2           4.2768688494E+2           1.9936528379E+0           4.0051519454E-1          
12/07/18                  04:51:59.6                3.4020277329E+2           2.5250000000E+1           3.8733000000E+4           2.0000000000E+0           5.1200000000E+2           2.5000000000E+1           4.2768688494E+2           4.2768688494E+2           1.9946856182E+0           4.0051519454E-1          
