gps_time,alt,amb,ch4,ch4d,co,co2,co2d,cod,cog,gasp,h2o,hdop,heading,lat,lon,pressure,rd1,rd2,sog,t,temp,wd_corr,wd_uncorr,ws_corr,ws_uncorr
2018-08-16 02:13:10.299999,168.600006104,amb[ii],1.9353754447,1.98451708732,co[ii],448.22583429,462.715219091,cod[ii],cog[jj],gasp[ii],2.3535516493,hdop[jj],heading[jj],43.7924920572,-79.4727105796,992.8,rd1[ii],rd2[ii],sog[jj],t[ii],25.9,wd_corr[jj],118.0,ws_corr[jj],3.7
2018-08-16 02:13:11.399999,168.600006104,amb[ii],1.8722025482,1.92022538841,co[ii],448.22583429,462.715219091,cod[ii],cog[jj],gasp[ii],2.3535516493,hdop[jj],heading[jj],43.7924899366,-79.472750144,992.7,rd1[ii],rd2[ii],sog[jj],t[ii],25.9,wd_corr[jj],115.0,ws_corr[jj],3.2
2018-08-16 02:13:14.399999,168.600006104,amb[ii],1.8722025482,1.91799731038,co[ii],414.8969792,427.658624243,cod[ii],cog[jj],gasp[ii],2.2489739585,hdop[jj],heading[jj],43.7924841531,-79.4728580471,992.7,rd1[ii],rd2[ii],sog[jj],t[ii],25.9,wd_corr[jj],117.0,ws_corr[jj],1.1
2018-08-16 02:13:15.600000,168.600006104,amb[ii],1.8754768386,1.92132569232,co[ii],414.8969792,427.658624243,cod[ii],cog[jj],gasp[ii],2.2489739585,hdop[jj],heading[jj],43.7924818397,-79.4729012083,992.7,rd1[ii],rd2[ii],sog[jj],t[ii],25.9,wd_corr[jj],113.0,ws_corr[jj],1.1
2018-08-16 02:13:18.399999,168.600006104,amb[ii],1.8754768386,1.92176742407,co[ii],401.5548942,413.983589321,cod[ii],cog[jj],gasp[ii],2.2697285557,hdop[jj],heading[jj],43.792481149,-79.4729655477,992.7,rd1[ii],rd2[ii],sog[jj],t[ii],25.9,wd_corr[jj],109.0,ws_corr[jj],1.2
2018-08-16 02:13:19.700000,168.600006104,amb[ii],1.8869679471,1.93345107312,co[ii],401.5548942,413.983589321,cod[ii],cog[jj],gasp[ii],2.2697285557,hdop[jj],heading[jj],43.7924811926,-79.4729926052,992.7,rd1[ii],rd2[ii],sog[jj],t[ii],25.9,wd_corr[jj],110.0,ws_corr[jj],1.3
2018-08-16 02:13:22.299999,168.600006104,amb[ii],1.8869679471,1.933639927,co[ii],397.74215917,410.089528676,cod[ii],cog[jj],gasp[ii],2.278539119,hdop[jj],heading[jj],43.7924812797,-79.4730467202,992.8,rd1[ii],rd2[ii],sog[jj],t[ii],25.9,wd_corr[jj],116.0,ws_corr[jj],1.0
2018-08-16 02:13:23.399999,168.600006104,amb[ii],1.8960512682,1.94287635379,co[ii],397.74215917,410.089528676,cod[ii],cog[jj],gasp[ii],2.278539119,hdop[jj],heading[jj],43.7924813166,-79.473069615,992.8,rd1[ii],rd2[ii],sog[jj],t[ii],25.9,wd_corr[jj],106.0,ws_corr[jj],1.4
2018-08-16 02:13:26.200000,168.600006104,amb[ii],1.8960512682,1.94302396678,co[ii],391.76714981,403.949227145,cod[ii],cog[jj],gasp[ii],2.2853891352,hdop[jj],heading[jj],43.7924814105,-79.4731278927,992.8,rd1[ii],rd2[ii],sog[jj],t[ii],25.9,wd_corr[jj],103.0,ws_corr[jj],2.9
2018-08-16 02:13:27.299999,168.600006104,amb[ii],1.9016209832,1.94868799681,co[ii],391.76714981,403.949227145,cod[ii],cog[jj],gasp[ii],2.2853891352,hdop[jj],heading[jj],43.7924814474,-79.4731507875,992.8,rd1[ii],rd2[ii],sog[jj],t[ii],25.9,wd_corr[jj],101.0,ws_corr[jj],3.3
2018-08-16 02:13:30.300000,168.600006104,amb[ii],1.9016209832,1.948684243,co[ii],390.68592099,402.830664469,cod[ii],cog[jj],gasp[ii],2.2852154873,hdop[jj],heading[jj],43.792481548,-79.4732132279,992.7,rd1[ii],rd2[ii],sog[jj],t[ii],25.9,wd_corr[jj],107.0,ws_corr[jj],3.7
2018-08-16 02:13:31.500000,168.600006104,amb[ii],1.9136927108,1.96096036394,co[ii],390.68592099,402.830664469,cod[ii],cog[jj],gasp[ii],2.2852154873,hdop[jj],heading[jj],43.7924815882,-79.4732382041,992.7,rd1[ii],rd2[ii],sog[jj],t[ii],25.9,wd_corr[jj],114.0,ws_corr[jj],3.6
2018-08-16 02:13:34.400000,168.600006104,amb[ii],1.9136927108,1.96129969224,co[ii],390.85440838,403.085494698,cod[ii],cog[jj],gasp[ii],2.3008055311,hdop[jj],heading[jj],43.7924816854,-79.4732985631,992.7,rd1[ii],rd2[ii],sog[jj],t[ii],25.9,wd_corr[jj],112.0,ws_corr[jj],4.1
