gps_time,alt,amb,ch4,ch4d,co,co2,co2d,cod,cog,gasp,h2o,hdop,heading,lat,lon,pressure,rd1,rd2,sog,t,temp,wd_corr,wd_uncorr,ws_corr,ws_uncorr
2018-09-27 02:13:25.799999,160.602294922,amb[ii],1.9565700443,1.95742675927,co[ii],426.18147439,426.998517976,cod[ii],cog[jj],gasp[ii],0.0,hdop[jj],heading[jj],43.780512,-79.468399,Nan,rd1[ii],rd2[ii],sog[jj],t[ii],Nan,wd_corr[jj],Nan,ws_corr[jj],Nan
2018-09-27 02:13:27.000000,160.602294922,amb[ii],1.9541740715,1.95504794172,co[ii],426.18147439,426.998517976,cod[ii],cog[jj],gasp[ii],0.0,hdop[jj],heading[jj],43.780512,-79.468399,Nan,rd1[ii],rd2[ii],sog[jj],t[ii],Nan,wd_corr[jj],Nan,ws_corr[jj],Nan
2018-09-27 02:13:30.099999,160.602294922,amb[ii],1.9541740715,1.95504794172,co[ii],425.92652641,426.742471085,cod[ii],cog[jj],gasp[ii],0.0,hdop[jj],heading[jj],43.780512,-79.468399,Nan,rd1[ii],rd2[ii],sog[jj],t[ii],Nan,wd_corr[jj],Nan,ws_corr[jj],Nan
2018-09-27 02:13:31.500000,160.602294922,amb[ii],1.9545170154,1.95538843013,co[ii],425.92652641,426.742471085,cod[ii],cog[jj],gasp[ii],0.0,hdop[jj],heading[jj],43.780512,-79.468399,Nan,rd1[ii],rd2[ii],sog[jj],t[ii],Nan,wd_corr[jj],Nan,ws_corr[jj],Nan
2018-09-27 02:13:34.800000,160.602294922,amb[ii],1.9545170154,1.95538843013,co[ii],422.21819874,423.018159284,cod[ii],cog[jj],gasp[ii],0.0,hdop[jj],heading[jj],43.780512,-79.468399,Nan,rd1[ii],rd2[ii],sog[jj],t[ii],Nan,wd_corr[jj],Nan,ws_corr[jj],Nan
2018-09-27 02:13:36.000000,160.602294922,amb[ii],1.9542316378,1.95510509585,co[ii],422.21819874,423.018159284,cod[ii],cog[jj],gasp[ii],0.0,hdop[jj],heading[jj],43.780512,-79.468399,Nan,rd1[ii],rd2[ii],sog[jj],t[ii],Nan,wd_corr[jj],Nan,ws_corr[jj],Nan
2018-09-27 02:13:39.399999,160.602294922,amb[ii],1.9542316378,1.95510509585,co[ii],422.66664177,423.468535253,cod[ii],cog[jj],gasp[ii],0.0,hdop[jj],heading[jj],43.780512,-79.468399,Nan,rd1[ii],rd2[ii],sog[jj],t[ii],Nan,wd_corr[jj],Nan,ws_corr[jj],Nan
2018-09-27 02:13:40.699999,160.602294922,amb[ii],1.9546263544,1.95549698626,co[ii],422.66664177,423.468535253,cod[ii],cog[jj],gasp[ii],0.0,hdop[jj],heading[jj],43.780512,-79.468399,Nan,rd1[ii],rd2[ii],sog[jj],t[ii],Nan,wd_corr[jj],Nan,ws_corr[jj],Nan
2018-09-27 02:13:43.699999,160.602294922,amb[ii],1.9546263544,1.95549698626,co[ii],424.98334887,425.795228135,cod[ii],cog[jj],gasp[ii],0.0,hdop[jj],heading[jj],43.780512,-79.468399,Nan,rd1[ii],rd2[ii],sog[jj],t[ii],Nan,wd_corr[jj],Nan,ws_corr[jj],Nan
2018-09-27 02:13:45.000000,160.461486816,amb[ii],1.9541961824,1.95506989431,co[ii],424.98334887,425.795228135,cod[ii],cog[jj],gasp[ii],0.0,hdop[jj],heading[jj],43.7805145,-79.4683995,Nan,rd1[ii],rd2[ii],sog[jj],t[ii],Nan,wd_corr[jj],Nan,ws_corr[jj],Nan
2018-09-27 02:13:48.199999,155.781793048,amb[ii],1.9541961824,1.95506989431,co[ii],423.45453777,424.259827348,cod[ii],cog[jj],gasp[ii],0.0,hdop[jj],heading[jj],43.7805111333,-79.4683611333,Nan,rd1[ii],rd2[ii],sog[jj],t[ii],Nan,wd_corr[jj],Nan,ws_corr[jj],Nan
2018-09-27 02:13:49.500000,154.209737142,amb[ii],1.9516313527,1.95252342888,co[ii],423.45453777,424.259827348,cod[ii],cog[jj],gasp[ii],0.0,hdop[jj],heading[jj],43.7805083333,-79.4683455,Nan,rd1[ii],rd2[ii],sog[jj],t[ii],Nan,wd_corr[jj],Nan,ws_corr[jj],Nan
2018-09-27 02:13:52.600000,154.575842289,amb[ii],1.9516313527,1.95252342888,co[ii],425.55713009,426.371482544,cod[ii],cog[jj],gasp[ii],0.0,hdop[jj],heading[jj],43.7805062,-79.46833755,Nan,rd1[ii],rd2[ii],sog[jj],t[ii],Nan,wd_corr[jj],Nan,ws_corr[jj],Nan
2018-09-27 02:13:53.899999,154.519189501,amb[ii],1.9543123826,1.95518526251,co[ii],425.55713009,426.371482544,cod[ii],cog[jj],gasp[ii],0.0,hdop[jj],heading[jj],43.7805088,-79.468336575,Nan,rd1[ii],rd2[ii],sog[jj],t[ii],Nan,wd_corr[jj],Nan,ws_corr[jj],Nan
2018-09-27 02:13:57.100000,153.875435432,amb[ii],1.9543123826,1.95518526251,co[ii],423.66524079,424.471438569,cod[ii],cog[jj],gasp[ii],0.0,hdop[jj],heading[jj],43.7805089667,-79.4683265667,Nan,rd1[ii],rd2[ii],sog[jj],t[ii],Nan,wd_corr[jj],Nan,ws_corr[jj],Nan
2018-09-27 02:13:58.299999,153.272994481,amb[ii],1.9524956725,1.95338156012,co[ii],423.66524079,424.471438569,cod[ii],cog[jj],gasp[ii],0.0,hdop[jj],heading[jj],43.7805045667,-79.4683173667,Nan,rd1[ii],rd2[ii],sog[jj],t[ii],Nan,wd_corr[jj],Nan,ws_corr[jj],Nan
2018-09-27 02:14:01.600000,152.57657472,amb[ii],1.9524956725,1.95338156012,co[ii],423.39696967,424.202011111,cod[ii],cog[jj],gasp[ii],0.0,hdop[jj],heading[jj],43.7804959333,-79.4683137333,Nan,rd1[ii],rd2[ii],sog[jj],t[ii],Nan,wd_corr[jj],Nan,ws_corr[jj],Nan
2018-09-27 02:14:02.899999,152.934478259,amb[ii],1.9531759336,1.95405695053,co[ii],423.39696967,424.202011111,cod[ii],cog[jj],gasp[ii],0.0,hdop[jj],heading[jj],43.7804917,-79.4683176,Nan,rd1[ii],rd2[ii],sog[jj],t[ii],Nan,wd_corr[jj],Nan,ws_corr[jj],Nan
2018-09-27 02:14:05.899999,154.017541353,amb[ii],1.9531759336,1.95405695053,co[ii],428.02501978,428.850009663,cod[ii],cog[jj],gasp[ii],0.0,hdop[jj],heading[jj],43.780484,-79.4683245,Nan,rd1[ii],rd2[ii],sog[jj],t[ii],Nan,wd_corr[jj],Nan,ws_corr[jj],Nan
2018-09-27 02:14:07.200000,154.196809902,amb[ii],1.950637014,1.95153620968,co[ii],428.02501978,428.850009663,cod[ii],cog[jj],gasp[ii],0.0,hdop[jj],heading[jj],43.780484,-79.4683223333,Nan,rd1[ii],rd2[ii],sog[jj],t[ii],Nan,wd_corr[jj],Nan,ws_corr[jj],Nan
2018-09-27 02:14:10.500000,154.018241882,amb[ii],1.950637014,1.95153620968,co[ii],427.86002694,428.684305649,cod[ii],cog[jj],gasp[ii],0.0,hdop[jj],heading[jj],43.7804815,-79.468324125,Nan,rd1[ii],rd2[ii],sog[jj],t[ii],Nan,wd_corr[jj],Nan,ws_corr[jj],Nan
2018-09-27 02:14:11.700000,153.879576105,amb[ii],1.9529403351,1.95382303892,co[ii],427.86002694,428.684305649,cod[ii],cog[jj],gasp[ii],0.0,hdop[jj],heading[jj],43.7804803,-79.468325625,Nan,rd1[ii],rd2[ii],sog[jj],t[ii],Nan,wd_corr[jj],Nan,ws_corr[jj],Nan
2018-09-27 02:14:15.200000,153.956217446,amb[ii],1.9529403351,1.95382303892,co[ii],428.09760787,428.922910632,cod[ii],cog[jj],gasp[ii],0.0,hdop[jj],heading[jj],43.780479,-79.4683269333,Nan,rd1[ii],rd2[ii],sog[jj],t[ii],Nan,wd_corr[jj],Nan,ws_corr[jj],Nan
2018-09-27 02:14:16.500000,153.913635254,amb[ii],1.9509724625,1.95186925635,co[ii],428.09760787,428.922910632,cod[ii],cog[jj],gasp[ii],0.0,hdop[jj],heading[jj],43.780479,-79.4683265,Nan,rd1[ii],rd2[ii],sog[jj],t[ii],Nan,wd_corr[jj],Nan,ws_corr[jj],Nan
2018-09-27 02:14:19.500000,153.856079102,amb[ii],1.9509724625,1.95186925635,co[ii],425.23776636,426.050742249,cod[ii],cog[jj],gasp[ii],0.0,hdop[jj],heading[jj],43.780479,-79.468326,Nan,rd1[ii],rd2[ii],sog[jj],t[ii],Nan,wd_corr[jj],Nan,ws_corr[jj],Nan
2018-09-27 02:14:20.800000,153.848779297,amb[ii],1.9525480955,1.95343360777,co[ii],425.23776636,426.050742249,cod[ii],cog[jj],gasp[ii],0.0,hdop[jj],heading[jj],43.780479,-79.468326,Nan,rd1[ii],rd2[ii],sog[jj],t[ii],Nan,wd_corr[jj],Nan,ws_corr[jj],Nan
