gps_time,alt,amb,ch4,ch4d,co,co2,co2d,cod,cog,gasp,h2o,hdop,heading,lat,lon,pressure,rd1,rd2,sog,t,temp,wd_corr,wd_uncorr,ws_corr,ws_uncorr
2018-10-13 03:10:01.299999,265.119997768,amb[ii],1.9490496019,1.96927988684,co[ii],414.01254331,419.925118212,cod[ii],cog[jj],gasp[ii],0.98308563013,hdop[jj],heading[jj],43.8817263542,-79.5185406357,973.8,rd1[ii],rd2[ii],sog[jj],t[ii],5.2,wd_corr[jj],358.0,ws_corr[jj],16.1
2018-10-13 03:10:02.500000,265.599990845,amb[ii],1.948539541,1.96876842207,co[ii],414.01254331,419.925118212,cod[ii],cog[jj],gasp[ii],0.98308563013,hdop[jj],heading[jj],43.8818842499,-79.5185808325,973.7,rd1[ii],rd2[ii],sog[jj],t[ii],5.2,wd_corr[jj],357.0,ws_corr[jj],15.8
2018-10-13 03:10:05.799999,266.866672436,amb[ii],1.948539541,1.96876842207,co[ii],410.73058074,416.588200171,cod[ii],cog[jj],gasp[ii],0.98308563013,hdop[jj],heading[jj],43.8823163732,-79.5186910573,973.6,rd1[ii],rd2[ii],sog[jj],t[ii],5.1,wd_corr[jj],354.0,ws_corr[jj],15.7
2018-10-13 03:10:07.100000,267.300006072,amb[ii],1.9518535482,1.97209155057,co[ii],410.73058074,416.588200171,cod[ii],cog[jj],gasp[ii],0.98308563013,hdop[jj],heading[jj],43.8824900268,-79.5187325366,973.5,rd1[ii],rd2[ii],sog[jj],t[ii],5.1,wd_corr[jj],356.0,ws_corr[jj],16.2
2018-10-13 03:10:10.299999,268.289995275,amb[ii],1.9518535482,1.97209155057,co[ii],411.26025531,417.126743982,cod[ii],cog[jj],gasp[ii],0.98308563013,hdop[jj],heading[jj],43.8829246786,-79.5188409208,973.4,rd1[ii],rd2[ii],sog[jj],t[ii],5.1,wd_corr[jj],356.0,ws_corr[jj],16.6
2018-10-13 03:10:11.799999,268.739988408,amb[ii],2.0229911094,2.04342490702,co[ii],411.26025531,417.126743982,cod[ii],cog[jj],gasp[ii],0.98308563013,hdop[jj],heading[jj],43.8831297419,-79.5188928782,973.3,rd1[ii],rd2[ii],sog[jj],t[ii],5.1,wd_corr[jj],357.0,ws_corr[jj],16.9
2018-10-13 03:10:15.200000,269.759997573,amb[ii],2.0229911094,2.04342490702,co[ii],410.68339862,416.540228002,cod[ii],cog[jj],gasp[ii],0.98308563013,hdop[jj],heading[jj],43.8836006541,-79.5190045461,973.1,rd1[ii],rd2[ii],sog[jj],t[ii],5.1,wd_corr[jj],356.0,ws_corr[jj],16.7
2018-10-13 03:10:16.399999,270.160001189,amb[ii],1.9557919842,1.97604082651,co[ii],410.68339862,416.540228002,cod[ii],cog[jj],gasp[ii],0.98308563013,hdop[jj],heading[jj],43.8837677388,-79.5190441869,973.0,rd1[ii],rd2[ii],sog[jj],t[ii],5.1,wd_corr[jj],356.0,ws_corr[jj],16.5
2018-10-13 03:10:19.600000,271.400012175,amb[ii],1.9557919842,1.97604082651,co[ii],408.63247152,414.454958741,cod[ii],cog[jj],gasp[ii],0.98308563013,hdop[jj],heading[jj],43.8842184506,-79.5191528387,972.9,rd1[ii],rd2[ii],sog[jj],t[ii],5.1,wd_corr[jj],355.0,ws_corr[jj],16.9
2018-10-13 03:10:20.900000,271.833345572,amb[ii],1.9603317284,1.98059306566,co[ii],408.63247152,414.454958741,cod[ii],cog[jj],gasp[ii],0.98308563013,hdop[jj],heading[jj],43.8844036181,-79.5191987492,972.9,rd1[ii],rd2[ii],sog[jj],t[ii],5.1,wd_corr[jj],357.0,ws_corr[jj],16.9
2018-10-13 03:10:24.000000,272.600006104,amb[ii],1.9603317284,1.98059306566,co[ii],408.30434803,414.121340918,cod[ii],cog[jj],gasp[ii],0.98308563013,hdop[jj],heading[jj],43.8848456182,-79.5193074597,972.7,rd1[ii],rd2[ii],sog[jj],t[ii],5.1,wd_corr[jj],356.0,ws_corr[jj],17.2
2018-10-13 03:10:25.299999,272.860001936,amb[ii],1.9569166077,1.97716854537,co[ii],408.30434803,414.121340918,cod[ii],cog[jj],gasp[ii],0.98308563013,hdop[jj],heading[jj],43.885031076,-79.5193528707,972.7,rd1[ii],rd2[ii],sog[jj],t[ii],5.1,wd_corr[jj],358.0,ws_corr[jj],17.3
2018-10-13 03:10:28.400000,273.0,amb[ii],1.9569166077,1.97716854537,co[ii],409.89963939,415.743344962,cod[ii],cog[jj],gasp[ii],0.98308563013,hdop[jj],heading[jj],43.8854681421,-79.5194590967,972.7,rd1[ii],rd2[ii],sog[jj],t[ii],5.1,wd_corr[jj],0.0,ws_corr[jj],17.1
2018-10-13 03:10:29.699999,273.0,amb[ii],1.9572531571,1.97750602107,co[ii],409.89963939,415.743344962,cod[ii],cog[jj],gasp[ii],0.98308563013,hdop[jj],heading[jj],43.8856507941,-79.5195033909,972.7,rd1[ii],rd2[ii],sog[jj],t[ii],5.1,wd_corr[jj],2.0,ws_corr[jj],17.1
2018-10-13 03:10:32.900000,273.0,amb[ii],1.9572531571,1.97750602107,co[ii],412.75890954,418.65049273,cod[ii],cog[jj],gasp[ii],0.98308563013,hdop[jj],heading[jj],43.886101149,-79.5195752727,972.7,rd1[ii],rd2[ii],sog[jj],t[ii],5.1,wd_corr[jj],6.0,ws_corr[jj],16.6
